keyword	updateTime	price
升麻	2023-03-06	64.000
升麻	2023-03-07	64.000
升麻	2023-03-08	64.000
升麻	2023-03-09	64.000
升麻	2023-03-10	64.000
升麻	2023-03-11	64.000
升麻	2023-03-12	64.000
升麻	2023-03-13	64.000
升麻	2023-03-14	64.000
升麻	2023-03-15	64.000
升麻	2023-03-16	64.000
升麻	2023-03-17	64.000
升麻	2023-03-18	64.000
升麻	2023-03-19	64.000
升麻	2023-03-20	64.000
升麻	2023-03-21	64.000
升麻	2023-03-22	64.000
升麻	2023-03-23	64.000
升麻	2023-03-24	64.000
升麻	2023-03-25	64.000
升麻	2023-03-26	64.000
升麻	2023-03-27	64.000
升麻	2023-03-28	64.000
升麻	2023-03-29	64.000
升麻	2023-03-30	64.000
升麻	2023-03-31	64.000
升麻	2023-04-01	64.000
升麻	2023-04-02	64.000
升麻	2023-04-03	64.000
升麻	2023-04-04	64.000
