keyword	title	content
枸杞	宁夏中宁县枸杞子开始产新	6月10日，枸杞通考察团来到了宁夏中宁县兴林苹果种植家庭农场，农场位于中宁红梧山红扬二泵站西侧，一共种植枸杞50亩。其中，宁杞5号、宁杞10号4龄树套种30亩，2龄树20亩。产新期推迟鲜果走...
枸杞	枸杞子一周行情（2019.5.6-5.13）：青黄不接行情持续上涨	近两周，中宁枸杞子市场上市量不大，货源走动顺畅，枸杞子甲级货中，280、380和550这几个规格价格纷纷上涨5元左右。分析市场原因，主要是流通市场近期需求强劲，尤其是广东市场持续买货，成都市场、...
枸杞	提高枸杞子农残标准2020版药典的标准是否越高越好？	笔者近期就听到做中药材贸易的商家抱怨，一些药企做全检后退货率大幅提高。抱怨的主要内容是，自己怎么知道收购的那批货重金属或者农残超不超标。也许这块地不超标，也许那块地就超标了。毕竟药企需要量大，一...
枸杞	一线直击：甘肃白银、临夏等地遭受冰雹袭击，产地药材是否受到影响？	截止26日08时至27日08时，甘肃省河西局部地方出现小雨或者阵雨天气，河东出现强对流天气，大部分地方雨量为小到中雨，陇南、天水、平凉、白银等市局部地方出现大到暴雨；白银、景泰、靖...
枸杞	重磅：2018年枸杞子年度产销调研报告	枸杞子，为茄科植物枸杞的成熟果实,具有多种保健功效，是卫生部批准的药食两用食物。近些年随着人们的保健养生意识增强，其社会用量越来越大。2018年枸杞子的产销关系、生产变迁、成本收益、具体趋势分析如下...
枸杞	2018汛期直击：西北洪涝风雹轮番上阵各产区药材严重受灾？	2018年6月30日中央气象台发布暴雨黄色预警，四川盆地东部、甘肃、宁夏等西北地区将迎来较强降雨，宁夏南部等地有暴雨……
枸杞	一线直击：中宁枸杞子产新鲜果尝鲜走动快	进入六月份，中宁产区再次迎来枸杞新一轮的采摘。而今年产区采摘提前，同时出现兴新产业。以下是天地网中宁分公司及产区大户发回的一线报道……
枸杞	《药材问答》第81期：枸杞子产量不小黄芩商家看好后市	《药材问答》是一档问答形式的线上栏目。每一期，针对广大天地网用户所提出的热点问题，都会由栏目制作人及天地网智库专家及时作出回答，编写制作成集锦或深度文章。——本期焦点：枸杞子产量不小黄芩商家看好后市
枸杞	宁夏中宁县绿色枸杞生产现状及破局之路	本期，第3调研小组对凯丰农资服务有限公司、宁夏大地生态有限公司和宁夏中卫市中宁县枸杞产业发展服务局进行调研：
枸杞	一线直击：宁夏枸杞子采摘结束，丰产不丰收！	七月中旬，宁夏中宁产区枸杞子采摘告一段落，今年枸杞子从产新前行情就一直下滑，而时下行情仍在震荡中前行。真的是丰产年大丰收导致行情下滑吗？
枸杞	《重磅》第13期：枸杞种植屡敲警钟，产区为何无动于衷？	《重磅》是一档线上原创深度内容栏目。行业大咖访谈、行业大事件报道、热门品种研析、产地市场调查报告是该栏目的四大核心输出点。栏目每一期均由制作人全程调查撰写、中药材天地网智库权威支持，只为给您真正的重磅...
枸杞	重磅：2016年枸杞子产新报告	2016年产新落幕，产量基本明朗。产大于销已是不争的事实。2017-2018年的产量在今年的基础上还要多出两三成。前景真的不是很乐观……
枸杞	枸杞子陆续产新边走边说看后市	古代养生家们的延年益寿方中多用枸杞，《神农本草经》即有“久服坚筋骨，轻身不老，耐寒暑”的记载。葛洪、陶弘景、孙思邈、孟诜等名医都爱喝用枸杞子酿造的药酒。其作补益药，在唐宋两朝更为盛行，并发展出各种药膳...
枸杞	新疆红色产业行之精河枸杞(下篇)困境与机遇	编者按：看似红火的枸杞子产业，风平浪静的表面之下其实暗藏汹涌。精河枸杞子不论产量还是知名度，皆处于追赶第二集团，精河枸杞子所面临的困境其实就是整个中药材种植端面临的缩影。但看似领先的第一集团...
枸杞	新疆红色产业行之精河枸杞(中篇)产地现状篇	编者按：目前我国枸杞子产业进入战国时期，随着近年青海、内蒙古、甘肃、新疆等地枸杞子的崛起，不再是宁夏枸杞子一家独大。不论是政府支持也好，差异化发展也罢，枸杞子产业蓬勃发展中也出现了前所未有的...
枸杞	2015年保健养生药材大回顾	我国整体消费水平提高，中药材滋补品大幅增加，中药材这种纯天然大自然化工厂产品受到广大消费者热捧。食用大增是目前中药材发展趋势，滋补、保健、治未病的先天优势让中药材走进寻常百姓家成为一种热潮。　...
枸杞	枸杞子还值得继续砸钱吗？	枸杞子作为药食两用的大宗中药材，而近几年枸杞子的价格，在产新前后均有大幅波动。而今年宁夏枸杞子产新已经结束，又临近《新药典》实施，枸杞子今年行情又会如何?作为药商，枸杞子还值得继续砸钱吗?　　历史...
枸杞	时风说枸杞价格一路高涨“脚步”停不住	一个中药材品种需要一个发言人，据行业内的人说黄连的发言人是“秦联发”，“时风”愿意做枸杞子的这样一个人，下面给大家讲个枸杞的故事，以供大家参考分析：...
枸杞	解读两会中涉及关于中医药各类问题（二）	张伯礼：土壤污染影响中药材的品质张伯礼认为，雾霾倒不是太大的问题，主要问题是土壤污染问题，通常是由于工业污染、农药、化肥用得太多导致的。“中药原...
枸杞	绿金在线——枸杞电子盘解析	一、合约简介GQJQ是以枸杞为合约标的物的电子盘现货即期现货交收合约，集中交收月为5月、11月，最小交易单位为1批(1批=4公斤)，最小变动价位1元/...
枸杞	解析“亚钠”事件后枸杞子的行情走势	又到滋补养生季，枸杞子作为这个季节最为常用的养生品种，其行情变动、食品安全等信息也备受人们关注。就在本月6日央视《聚焦三农》栏目报道了关于青海省海西蒙古族藏族自...
枸杞	枸杞子行情回落后期能否再创新高	没有铮铮铁骨的荡气回肠，也没有侠骨柔情的离别感伤，但普普通通的枸杞子却像拥有无尽魔力般牵动人心。这几个月枸杞子行情好似坐过山车般经历了大起大落，枸杞子(宁夏......
枸杞	枸杞子价格一路飙升后市又将如何	近三个月来枸杞子的价格可谓是一路飙升，280粒宁夏货的价格从3月份60元左右的价格涨到了现在70-75元，380粒宁夏货的价格从3月份47元左右的价格上涨到...
枸杞	枸杞子价升探析（下）—后市继续上扬动力多大	背景：近期荷花池市场枸杞子价格再次上扬，枸杞子（小粒宁夏）价格从5月12日的45元升为目前的48元，其他市场枸杞子价格也相应上涨，其中亳州市场枸杞子（38...
枸杞	枸杞子价升探析（上）—现状分析	背景：枸杞子，也许您杯子里正漂浮着，也许你正品味着，也许你正有计划采购一些，也许你正打算关注它……这么一个我们日常接触的药食两用...
枸杞	过于开放药食两用中药材弊大于利	背景：今年两会期间，全国政协委员、中国工程院院士、以岭药业董事长吴以岭针对药食两用中药材作出《建议改变药食两用中药材管理办法促进健康服务产业发展》的提案。文...
枸杞	枸杞无序发展供需关系逆转	枸杞性平、味甘，归肝、肾经。善滋补肝肾，益精明目，用于虚劳精亏，腰膝酸痛，眩晕耳鸣，内热消渴，血虚萎黄，目昏不明等症，为药食两用，食用为主的大宗滋补品种，年需求...
枸杞	虚高行情余波未平产能过剩危机再敲警钟~~2013年	综述：伴随着社会生产力高速发展，国内外对中药材原料的安全稳定供应提出越来越高要求，“既想吃得饱又想吃得好”。但与之相应的，在价格方面，是...
枸杞	枸杞子供应充足后期冲高不易	阳春三月，春暖大地，随着天气转暖，各地枸杞果农进入了春季农忙时节，修剪枸杞枝、松土、施肥，为新一年的丰收做足准备。在2012年不温不火的行情下，枸杞在庞大的用量...
枸杞	枸杞行情不温不火后市如何	枸杞子以食用为主，药用为辅，是卫生部第一批公布的药食两用中药材。商品几乎涵盖了饮品、保健品、食品、出口等多个领域，需求量逐年增加。近几年枸杞需求量已经达到8-9...
枸杞	枸杞产新序幕拉开后市探寻	时至6月下旬，枸杞子产新已慢慢拉开帷幕，枸杞子的后市走向成为了经营者关注的焦点。现市场枸杞库存尚有，市场药商多停止购进陈货大货，选择随购随销，产地收购商也多停止...
枸杞	宁夏枸杞产新临近行情平稳	宁夏自治区中宁是枸杞的地道老产区，目前新货还未曾采摘，产新还得六月底。虽是青黄不接但老库存依然较大，受即将产新大货走销不快，价格呈现下滑。380spansty...
枸杞	枸杞子量大货丰后市难以走好	一、品种概况枸杞子为茄科植物宁夏枸杞的干燥成熟果实。其味甘、性平具有补肝益肾之功效，中医常用它来治疗肝肾阴亏、腰膝酸软、目眩、目昏多泪、消渴、遗精等病症。枸杞种...
枸杞	2011年中药材市场总结及2012年预期报告下篇	在历史的轮回中，经历了农业时代、工业时代、商业时代和网络经济时代后，人类社会必将迎来以中医药理念为核心的永恒健康经济时代。美国《时代周刊》预测，2020年健康...
枸杞	今日话题：2012	过去的2011年，用“冰火两重天”和“过山车”来形容全年中药材市场走势毫不为过。药市综合200指数从年初的25...
枸杞	地骨皮逆势上涨为哪般	随着天气的日渐炎热，药市淡季提前来临，前期沸沸扬扬的药市逐渐平静下来，降价品种逐日增多，市场整体呈现稳中下滑趋势。但再疲软的市场也依然会有亮点品种，例如&md...
枸杞	枸杞子价格走势分析	近日枸杞子人气指数攀升，出现异动。为此我们将对枸杞子的价格走势做出全面的分析和预测。基本面及价格走势分析
枸杞	枸杞价格旺季下调背后	价格异动：宁夏产地价格较上旬下滑2-4元，宁夏统货售价44-46元；河北产地价格较上旬下滑3元左右，统货价格37元左右；新疆产地价格变化不明显，统货价格45元...
枸杞	辽宁朝阳龙城区大旱造成部分中药材减产	辽宁朝阳的龙城区中药材种植主要集中在召都巴镇、联合乡的嘎岔村、林家沟、下三家等村。主产北五味、枸杞子、花楸、黄芩、金银花、防风等。2009年出现历史以来罕...
枸杞	产业基地在中药材行情平抑中的作用	一、国内中药材种植基地迅速发展极大影响了市场流通格局全国目前中药材种植面积在1700万-1850万亩之间（因新的资源普查尚未开始，根据1998年公布数字预估...
枸杞	我国植物提取物产业呼唤高质出口	紫杉醇、喜树碱、石衫碱甲等国产植提物产品由于货源紧张，根本无法满足外商的订单数量，而枸杞、红景天、灵芝、当归、葛根等一些“新资源植提物产品”（西方国家普遍认为...
枸杞	9月10日亳州药市综述	今日，亳州药市大部分商品行情稳定，小部分商品市价有所上升，具体情况如下：行情稳定的商品有：光慈菇行情平稳，走动一般，市场统货售价70元左右；广豆根走动顺...
枸杞	论08年枸杞子后市走向	枸杞种植可谓是造福了一方百姓，尤其是去年虽有减产还是让种植枸杞的农民笑开了怀。一个年产量10多万吨的品种到来年产新时库存已所剩无几，可见它独有的魅力所在，这也是...
枸杞	[荷花池药市]7月中旬荷花池药市动态（7月5日--7	时值中药材销售淡季，市场货源走动不快，掉价品种多于前期，涨价品种寥寥无几。本期荷市具体交易情况如下：羌活时进初产期，市场关注者仍多，据青海回来的药商...
